number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,system_attrs_grid_id,system_attrs_search_space,state
20,0.7442627617451036,2025-01-09 18:21:08.166998,2025-01-09 18:21:22.489317,0 days 00:00:14.322319,1.0,0.1,5,1,1.0,20,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
21,0.749720732608479,2025-01-09 18:21:22.489554,2025-01-09 18:21:34.938265,0 days 00:00:12.448711,0.8,0.3,5,1,0.8,21,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
22,0.6942347725902586,2025-01-09 18:21:34.938499,2025-01-09 18:21:47.127542,0 days 00:00:12.189043,0.8,0.01,5,1,0.6,22,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
23,0.7487408796598516,2025-01-09 18:21:47.127781,2025-01-09 18:21:59.184109,0 days 00:00:12.056328,0.8,0.1,5,5,0.6,23,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
24,0.664917191509214,2025-01-09 18:21:59.184351,2025-01-09 18:22:03.990893,0 days 00:00:04.806542,0.6,0.01,3,3,1.0,24,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
25,0.7080187276450852,2025-01-09 18:22:03.991145,2025-01-09 18:22:27.529842,0 days 00:00:23.538697,0.6,0.01,7,3,0.8,25,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
26,0.664567345431208,2025-01-09 18:22:27.531303,2025-01-09 18:22:33.154101,0 days 00:00:05.622798,1.0,0.01,3,5,0.6,26,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
27,0.7527289731933166,2025-01-09 18:22:33.154340,2025-01-09 18:22:39.161782,0 days 00:00:06.007442,1.0,0.3,3,5,0.6,27,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
28,0.6943747061261126,2025-01-09 18:22:39.162020,2025-01-09 18:22:49.748676,0 days 00:00:10.586656,0.6,0.01,5,3,0.6,28,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
29,0.7494403760019248,2025-01-09 18:22:49.748984,2025-01-09 18:23:15.811715,0 days 00:00:26.062731,1.0,0.3,7,1,1.0,29,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
